Publikationsjahr,Indikator_Nr,jahr_num,jahr_char,Wert,Indikator_Name,IndikatorLabelShort,Wohnviertel_id,Wohnviertel,Rang,Indikator-Kategorie,Gewichtung_Text,Bewertung_Text,Einheit,wert_txt
2023,1,2022,2022,0.1034729681,Sozialhilfequote,Anteil Sozialhilfeempfänger,19,Kleinhüningen,21,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"10,3%"
2023,1,2022,2022,0.0267792955,Sozialhilfequote,Anteil Sozialhilfeempfänger,20,Riehen,9,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"2,68%"
2023,1,2022,2022,0.0166919575,Sozialhilfequote,Anteil Sozialhilfeempfänger,30,Bettingen,3,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"1,67%"
2023,1,2022,2022,0.0533,Sozialhilfequote,Anteil Sozialhilfeempfänger,99,Kanton Basel-Stadt,14,Gesellschaft und Soziales,Der Anteil Sozialhilfeempfänger ist für mich,Ein hoher Anteil Sozialhilfeempfänger ist für mich,,"5,33%"
2023,2,2022,2022,0.3244525547,Auslaenderanteil,Anteil Ausländer,1,Altstadt Grossbasel,7,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"32,4%"
2023,2,2022,2022,0.4337038507,Auslaenderanteil,Anteil Ausländer,2,Vorstädte,17,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"43,4%"
2023,2,2022,2022,0.3969880046,Auslaenderanteil,Anteil Ausländer,3,Am Ring,13,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"39,7%"
2023,2,2022,2022,0.3669247788,Auslaenderanteil,Anteil Ausländer,4,Breite,9,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"36,7%"
2023,2,2022,2022,0.3782513573,Auslaenderanteil,Anteil Ausländer,5,St. Alban,10,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"37,8%"
2023,2,2022,2022,0.4078073965,Auslaenderanteil,Anteil Ausländer,6,Gundeldingen,15,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"40,8%"
2023,2,2022,2022,0.2492083597,Auslaenderanteil,Anteil Ausländer,7,Bruderholz,2,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"24,9%"
2023,2,2022,2022,0.2340102623,Auslaenderanteil,Anteil Ausländer,8,Bachletten,1,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"23,4%"
2023,2,2022,2022,0.302074453,Auslaenderanteil,Anteil Ausländer,9,Gotthelf,6,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"30,2%"
2023,2,2022,2022,0.3960862902,Auslaenderanteil,Anteil Ausländer,10,Iselin,12,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"39,6%"
2023,2,2022,2022,0.426863354,Auslaenderanteil,Anteil Ausländer,11,St. Johann,16,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"42,7%"
2023,2,2022,2022,0.4,Auslaenderanteil,Anteil Ausländer,12,Altstadt Kleinbasel,14,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,, 40%
2023,2,2022,2022,0.492570914,Auslaenderanteil,Anteil Ausländer,13,Clara,18,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"49,3%"
2023,2,2022,2022,0.3380549318,Auslaenderanteil,Anteil Ausländer,14,Wettstein,8,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"33,8%"
2023,2,2022,2022,0.2638873849,Auslaenderanteil,Anteil Ausländer,15,Hirzbrunnen,4,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"26,4%"
2023,2,2022,2022,0.5721703011,Auslaenderanteil,Anteil Ausländer,16,Rosental,22,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"57,2%"
2023,2,2022,2022,0.5028604863,Auslaenderanteil,Anteil Ausländer,17,Matthäus,20,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"50,3%"
2023,2,2022,2022,0.5327436154,Auslaenderanteil,Anteil Ausländer,18,Klybeck,21,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"53,3%"
2023,2,2022,2022,0.4951664876,Auslaenderanteil,Anteil Ausländer,19,Kleinhüningen,19,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"49,5%"
2023,2,2022,2022,0.2899442847,Auslaenderanteil,Anteil Ausländer,20,Riehen,5,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,, 29%
2023,2,2022,2022,0.253414264,Auslaenderanteil,Anteil Ausländer,30,Bettingen,3,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"25,3%"
2023,2,2022,2022,0.379,Auslaenderanteil,Anteil Ausländer,99,Kanton Basel-Stadt,11,Gesellschaft und Soziales,Der Anteil Ausländer ist für mich,Ein hoher Anteil Ausländer ist für mich,,"37,9%"
2023,4,2022,2022,0.3105504587,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,1,Altstadt Grossbasel,21,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"31,1%"
2023,4,2022,2022,0.3099552334,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,2,Vorstädte,20,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,, 31%
2023,4,2022,2022,0.2743506494,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,3,Am Ring,14,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"27,4%"
2023,4,2022,2022,0.2893418356,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,4,Breite,16,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"28,9%"
2023,4,2022,2022,0.2334850017,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,5,St. Alban,8,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"23,3%"
2023,4,2022,2022,0.2932595846,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,6,Gundeldingen,17,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"29,3%"
2023,4,2022,2022,0.1439181916,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,7,Bruderholz,2,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"14,4%"
2023,4,2022,2022,0.213518682,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,8,Bachletten,6,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"21,4%"
2023,4,2022,2022,0.2940834424,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,9,Gotthelf,18,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"29,4%"
2023,4,2022,2022,0.278339959,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,10,Iselin,15,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"27,8%"
2023,4,2022,2022,0.2407185629,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,11,St. Johann,9,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"24,1%"
2023,4,2022,2022,0.3752798925,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,12,Altstadt Kleinbasel,22,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"37,5%"
2023,4,2022,2022,0.3029721956,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,13,Clara,19,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"30,3%"
2023,4,2022,2022,0.2676333691,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,14,Wettstein,12,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"26,8%"
2023,4,2022,2022,0.1878234064,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,15,Hirzbrunnen,4,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"18,8%"
2023,4,2022,2022,0.2207117153,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,16,Rosental,7,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"22,1%"
2023,4,2022,2022,0.2699183701,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,17,Matthäus,13,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,, 27%
2023,4,2022,2022,0.2478005865,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,18,Klybeck,11,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"24,8%"
2023,4,2022,2022,0.2020958084,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,19,Kleinhüningen,5,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"20,2%"
2023,4,2022,2022,0.1658958744,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,20,Riehen,3,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"16,6%"
2023,4,2022,2022,0.1176948052,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,30,Bettingen,1,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"11,8%"
2023,4,2022,2022,0.243,Anteileinpersonenhh,Anteil Personen in Einpersonenhaushalten,99,Kanton Basel-Stadt,10,Gesellschaft und Soziales,Der Anteil Personen in Einpersonenhaushalten ist für mich,Ein hoher Anteil Personen in Einpersonenhaushalten ist für mich,,"24,3%"
2023,5,2022,2022,0.4737,Gymnasialquote,Gymnasialquote,1,Altstadt Grossbasel,17,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"47,4%"
2023,5,2022,2022,0.4667,Gymnasialquote,Gymnasialquote,2,Vorstädte,15,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"46,7%"
2023,5,2022,2022,0.541,Gymnasialquote,Gymnasialquote,3,Am Ring,21,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"54,1%"
2023,5,2022,2022,0.3238,Gymnasialquote,Gymnasialquote,4,Breite,10,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"32,4%"
2023,5,2022,2022,0.4785,Gymnasialquote,Gymnasialquote,5,St. Alban,18,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"47,9%"
2023,5,2022,2022,0.2639,Gymnasialquote,Gymnasialquote,6,Gundeldingen,5,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"26,4%"
2023,5,2022,2022,0.5818,Gymnasialquote,Gymnasialquote,7,Bruderholz,22,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"58,2%"
2023,5,2022,2022,0.5277,Gymnasialquote,Gymnasialquote,8,Bachletten,20,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"52,8%"
2023,5,2022,2022,0.4324,Gymnasialquote,Gymnasialquote,9,Gotthelf,13,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"43,2%"
2023,5,2022,2022,0.2191,Gymnasialquote,Gymnasialquote,10,Iselin,4,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"21,9%"
2023,5,2022,2022,0.3376,Gymnasialquote,Gymnasialquote,11,St. Johann,11,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"33,8%"
2023,5,2022,2022,0.2778,Gymnasialquote,Gymnasialquote,12,Altstadt Kleinbasel,6,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"27,8%"
2023,5,2022,2022,0.1556,Gymnasialquote,Gymnasialquote,13,Clara,2,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"15,6%"
2023,5,2022,2022,0.4921,Gymnasialquote,Gymnasialquote,14,Wettstein,19,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"49,2%"
2023,5,2022,2022,0.3237,Gymnasialquote,Gymnasialquote,15,Hirzbrunnen,9,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"32,4%"
2023,5,2022,2022,0.2901,Gymnasialquote,Gymnasialquote,16,Rosental,8,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,, 29%
2023,5,2022,2022,0.2816,Gymnasialquote,Gymnasialquote,17,Matthäus,7,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"28,2%"
2023,5,2022,2022,0.1148,Gymnasialquote,Gymnasialquote,18,Klybeck,1,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"11,5%"
2023,5,2022,2022,0.1923,Gymnasialquote,Gymnasialquote,19,Kleinhüningen,3,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"19,2%"
2023,5,2022,2022,0.4646,Gymnasialquote,Gymnasialquote,20,Riehen,14,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"46,5%"
2023,5,2022,2022,0.4667,Gymnasialquote,Gymnasialquote,30,Bettingen,15,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"46,7%"
2023,5,2022,2022,0.375,Gymnasialquote,Gymnasialquote,99,Kanton Basel-Stadt,12,Gesellschaft und Soziales,Die Gymnasialquote ist für mich,Eine hohe Gymnasialquote ist für mich,,"37,5%"
2023,6,2022,2022,0.2937763713,Altersquotient,Altersquotient,1,Altstadt Grossbasel,9,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,294"
2023,6,2022,2022,0.347480916,Altersquotient,Altersquotient,2,Vorstädte,15,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,347"
2023,6,2022,2022,0.3063715627,Altersquotient,Altersquotient,3,Am Ring,13,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,306"
2023,6,2022,2022,0.3167259786,Altersquotient,Altersquotient,4,Breite,14,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,317"
2023,6,2022,2022,0.3959722222,Altersquotient,Altersquotient,5,St. Alban,18,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,396"
2023,6,2022,2022,0.2310488451,Altersquotient,Altersquotient,6,Gundeldingen,4,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,231"
2023,6,2022,2022,0.4089340491,Altersquotient,Altersquotient,7,Bruderholz,19,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,409"
2023,6,2022,2022,0.3652979164,Altersquotient,Altersquotient,8,Bachletten,17,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,365"
2023,6,2022,2022,0.3549953747,Altersquotient,Altersquotient,9,Gotthelf,16,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,355"
2023,6,2022,2022,0.2464307883,Altersquotient,Altersquotient,10,Iselin,6,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,246"
2023,6,2022,2022,0.2314164415,Altersquotient,Altersquotient,11,St. Johann,5,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,231"
2023,6,2022,2022,0.285046729,Altersquotient,Altersquotient,12,Altstadt Kleinbasel,8,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,285"
2023,6,2022,2022,0.3001675042,Altersquotient,Altersquotient,13,Clara,10,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,," 0,3"
2023,6,2022,2022,0.2808521694,Altersquotient,Altersquotient,14,Wettstein,7,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,281"
2023,6,2022,2022,0.4168289832,Altersquotient,Altersquotient,15,Hirzbrunnen,20,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,417"
2023,6,2022,2022,0.1322693084,Altersquotient,Altersquotient,16,Rosental,1,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,132"
2023,6,2022,2022,0.1978492664,Altersquotient,Altersquotient,17,Matthäus,2,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,198"
2023,6,2022,2022,0.2185977547,Altersquotient,Altersquotient,18,Klybeck,3,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,219"
2023,6,2022,2022,0.3051237766,Altersquotient,Altersquotient,19,Kleinhüningen,12,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,305"
2023,6,2022,2022,0.4749155405,Altersquotient,Altersquotient,20,Riehen,22,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,475"
2023,6,2022,2022,0.4279835391,Altersquotient,Altersquotient,30,Bettingen,21,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,428"
2023,6,2022,2022,0.302,Altersquotient,Altersquotient,99,Kanton Basel-Stadt,11,Gesellschaft und Soziales,Der Altersquotient ist für mich,Ein hoher Altersquotient ist für mich,,"0,302"
2023,7,2022,2022,0.3005679336,Anteilsesshafte,Anteil Sesshafte,1,Altstadt Grossbasel,6,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"30,1%"
2023,7,2022,2022,0.2739182215,Anteilsesshafte,Anteil Sesshafte,2,Vorstädte,2,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"27,4%"
2023,7,2022,2022,0.292935498,Anteilsesshafte,Anteil Sesshafte,3,Am Ring,4,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"29,3%"
2023,7,2022,2022,0.3315265487,Anteilsesshafte,Anteil Sesshafte,4,Breite,12,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"33,2%"
2023,7,2022,2022,0.3034600113,Anteilsesshafte,Anteil Sesshafte,5,St. Alban,7,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"30,3%"
2023,7,2022,2022,0.3114002739,Anteilsesshafte,Anteil Sesshafte,6,Gundeldingen,10,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"31,1%"
2023,7,2022,2022,0.4314967279,Anteilsesshafte,Anteil Sesshafte,7,Bruderholz,22,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"43,1%"
2023,7,2022,2022,0.4117944641,Anteilsesshafte,Anteil Sesshafte,8,Bachletten,21,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"41,2%"
2023,7,2022,2022,0.3554987212,Anteilsesshafte,Anteil Sesshafte,9,Gotthelf,16,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"35,5%"
2023,7,2022,2022,0.3338441589,Anteilsesshafte,Anteil Sesshafte,10,Iselin,13,Gesellschaft und Soziales,Der Anteil Sesshafte ist für mich,Ein hoher Anteil Sesshafte ist für mich,,"33,4%"
